fwd	rev	xform	assay	target	experiment	biosample	biosample_summary	library_construction
data/processed/bigwigs/ENCSR516KII_astrocyte_pl.bigWig	data/processed/bigwigs/ENCSR516KII_astrocyte_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR516KII-astrocyte	ENCSR516KII	astrocyte	Homo sapiens astrocyte	capped RNA enrichment
data/processed/bigwigs/ENCSR280NVT_vagina_pl.bigWig	data/processed/bigwigs/ENCSR280NVT_vagina_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR280NVT-vagina	ENCSR280NVT	vagina	Homo sapiens vagina tissue female adult (53 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR245HPE_psoas_muscle_pl.bigWig	data/processed/bigwigs/ENCSR245HPE_psoas_muscle_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR245HPE-psoas_muscle	ENCSR245HPE	psoas muscle	Homo sapiens psoas muscle tissue female adult (41 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR889QVM_ovary_pl.bigWig	data/processed/bigwigs/ENCSR889QVM_ovary_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR889QVM-ovary	ENCSR889QVM	ovary	Homo sapiens ovary tissue female adult (53 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR712UDA_peripheral_blood_mononuclear_cell_pl.bigWig	data/processed/bigwigs/ENCSR712UDA_peripheral_blood_mononuclear_cell_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR712UDA-peripheral_blood_mononuclear_cell	ENCSR712UDA	peripheral blood mononuclear cell	Homo sapiens peripheral blood mononuclear cell	capped RNA enrichment
data/processed/bigwigs/ENCSR926PFT_omental_fat_pad_pl.bigWig	data/processed/bigwigs/ENCSR926PFT_omental_fat_pad_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR926PFT-omental_fat_pad	ENCSR926PFT	omental fat pad	Homo sapiens omental fat pad tissue female adult (53 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR679CMZ_testis_pl.bigWig	data/processed/bigwigs/ENCSR679CMZ_testis_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR679CMZ-testis	ENCSR679CMZ	testis	Homo sapiens testis tissue male adult (54 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR642TRG_tibial_artery_pl.bigWig	data/processed/bigwigs/ENCSR642TRG_tibial_artery_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR642TRG-tibial_artery	ENCSR642TRG	tibial artery	Homo sapiens tibial artery tissue female adult (53 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR723NVI_T-cell_pl.bigWig	data/processed/bigwigs/ENCSR723NVI_T-cell_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR723NVI-T-cell	ENCSR723NVI	T-cell	Homo sapiens with type 1 diabetes mellitus; T-cell female adult (48 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR175VMO_Metastatic_Pancreatic_Carcinoma_in_the_Ovary_pl.bigWig	data/processed/bigwigs/ENCSR175VMO_Metastatic_Pancreatic_Carcinoma_in_the_Ovary_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR175VMO-Metastatic_Pancreatic_Carcinoma_in_the_Ovary	ENCSR175VMO	Metastatic Pancreatic Carcinoma in the Ovary	Homo sapiens Metastatic Pancreatic Carcinoma in the Ovary tissue female adult (52 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR516YGD_adrenal_gland_pl.bigWig	data/processed/bigwigs/ENCSR516YGD_adrenal_gland_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR516YGD-adrenal_gland	ENCSR516YGD	adrenal gland	Homo sapiens adrenal gland tissue female adult (41 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR015HKC_uterus_pl.bigWig	data/processed/bigwigs/ENCSR015HKC_uterus_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR015HKC-uterus	ENCSR015HKC	uterus	Homo sapiens uterus tissue female adult (53 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR359PWL_H9_pl.bigWig	data/processed/bigwigs/ENCSR359PWL_H9_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR359PWL-H9	ENCSR359PWL	H9	Homo sapiens H9	capped RNA enrichment
data/processed/bigwigs/ENCSR845TMF_prostate_gland_pl.bigWig	data/processed/bigwigs/ENCSR845TMF_prostate_gland_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR845TMF-prostate_gland	ENCSR845TMF	prostate gland	Homo sapiens prostate gland tissue male adult (54 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR222JNI_endothelial_cell_pl.bigWig	data/processed/bigwigs/ENCSR222JNI_endothelial_cell_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR222JNI-endothelial_cell	ENCSR222JNI	endothelial cell	Homo sapiens endothelial cell	capped RNA enrichment
data/processed/bigwigs/ENCSR216FUJ_Metastatic_Breast_Carcinoma_in_the_Brain_pl.bigWig	data/processed/bigwigs/ENCSR216FUJ_Metastatic_Breast_Carcinoma_in_the_Brain_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR216FUJ-Metastatic_Breast_Carcinoma_in_the_Brain	ENCSR216FUJ	Metastatic Breast Carcinoma in the Brain	Homo sapiens Metastatic Breast Carcinoma in the Brain tissue female adult (79 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR889PCF_bile_duct_pl.bigWig	data/processed/bigwigs/ENCSR889PCF_bile_duct_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR889PCF-bile_duct	ENCSR889PCF	bile duct	Homo sapiens bile duct tissue female adult (41 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR153AON_esophagus_squamous_epithelium_pl.bigWig	data/processed/bigwigs/ENCSR153AON_esophagus_squamous_epithelium_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR153AON-esophagus_squamous_epithelium	ENCSR153AON	esophagus squamous epithelium	Homo sapiens esophagus squamous epithelium tissue female adult (53 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR436JXW_Metastatic_Breast_Carcinoma_in_the_Brain_pl.bigWig	data/processed/bigwigs/ENCSR436JXW_Metastatic_Breast_Carcinoma_in_the_Brain_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR436JXW-Metastatic_Breast_Carcinoma_in_the_Brain	ENCSR436JXW	Metastatic Breast Carcinoma in the Brain	Homo sapiens Metastatic Breast Carcinoma in the Brain tissue female adult (72 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR660UDB_kidney_pl.bigWig	data/processed/bigwigs/ENCSR660UDB_kidney_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR660UDB-kidney	ENCSR660UDB	kidney	Homo sapiens kidney tissue female adult (53 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR235BZZ_gastrocnemius_medialis_pl.bigWig	data/processed/bigwigs/ENCSR235BZZ_gastrocnemius_medialis_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR235BZZ-gastrocnemius_medialis	ENCSR235BZZ	gastrocnemius medialis	Homo sapiens gastrocnemius medialis tissue female adult (53 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR216UNW_lower_lobe_of_left_lung_pl.bigWig	data/processed/bigwigs/ENCSR216UNW_lower_lobe_of_left_lung_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR216UNW-lower_lobe_of_left_lung	ENCSR216UNW	lower lobe of left lung	Homo sapiens lower lobe of left lung tissue male adult (37 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR813CRU_Metastatic_Breast_Carcinoma_in_the_Brain_pl.bigWig	data/processed/bigwigs/ENCSR813CRU_Metastatic_Breast_Carcinoma_in_the_Brain_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR813CRU-Metastatic_Breast_Carcinoma_in_the_Brain	ENCSR813CRU	Metastatic Breast Carcinoma in the Brain	Homo sapiens Metastatic Breast Carcinoma in the Brain tissue female adult (71 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR829KWG_natural_killer_cell_pl.bigWig	data/processed/bigwigs/ENCSR829KWG_natural_killer_cell_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR829KWG-natural_killer_cell	ENCSR829KWG	natural killer cell	Homo sapiens natural killer cell	capped RNA enrichment
data/processed/bigwigs/ENCSR380VKC_heart_right_ventricle_pl.bigWig	data/processed/bigwigs/ENCSR380VKC_heart_right_ventricle_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR380VKC-heart_right_ventricle	ENCSR380VKC	heart right ventricle	Homo sapiens heart right ventricle tissue female adult (41 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR220XSM_K562_pl.bigWig	data/processed/bigwigs/ENCSR220XSM_K562_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR220XSM-K562	ENCSR220XSM	K562	Homo sapiens K562	capped RNA enrichment
data/processed/bigwigs/ENCSR269FMG_liver_pl.bigWig	data/processed/bigwigs/ENCSR269FMG_liver_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR269FMG-liver	ENCSR269FMG	liver	Homo sapiens liver tissue female adult (53 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR995FAO_mucosa_of_descending_colon_pl.bigWig	data/processed/bigwigs/ENCSR995FAO_mucosa_of_descending_colon_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR995FAO-mucosa_of_descending_colon	ENCSR995FAO	mucosa of descending colon	Homo sapiens mucosa of descending colon tissue female adult (61 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR443GRP_endodermal_cell_pl.bigWig	data/processed/bigwigs/ENCSR443GRP_endodermal_cell_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR443GRP-endodermal_cell	ENCSR443GRP	endodermal cell	Homo sapiens endodermal cell	capped RNA enrichment
data/processed/bigwigs/ENCSR881RXX_anterior_vena_cava_pl.bigWig	data/processed/bigwigs/ENCSR881RXX_anterior_vena_cava_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR881RXX-anterior_vena_cava	ENCSR881RXX	anterior vena cava	Homo sapiens anterior vena cava tissue male adult (62 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR944DTY_SEM_pl.bigWig	data/processed/bigwigs/ENCSR944DTY_SEM_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR944DTY-SEM	ENCSR944DTY	SEM	Homo sapiens SEM	capped RNA enrichment
data/processed/bigwigs/ENCSR270EGA_left_cardiac_atrium_pl.bigWig	data/processed/bigwigs/ENCSR270EGA_left_cardiac_atrium_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR270EGA-left_cardiac_atrium	ENCSR270EGA	left cardiac atrium	Homo sapiens left cardiac atrium tissue male adult (37 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR368ARY_pulmonary_artery_pl.bigWig	data/processed/bigwigs/ENCSR368ARY_pulmonary_artery_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR368ARY-pulmonary_artery	ENCSR368ARY	pulmonary artery	Homo sapiens pulmonary artery tissue male adult (62 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR521BLL_psoas_muscle_pl.bigWig	data/processed/bigwigs/ENCSR521BLL_psoas_muscle_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR521BLL-psoas_muscle	ENCSR521BLL	psoas muscle	Homo sapiens psoas muscle tissue female adult (61 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR062QYF_cerebellum_pl.bigWig	data/processed/bigwigs/ENCSR062QYF_cerebellum_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR062QYF-cerebellum	ENCSR062QYF	cerebellum	Homo sapiens cerebellum tissue female adult (43 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR526XOQ_NALM6_pl.bigWig	data/processed/bigwigs/ENCSR526XOQ_NALM6_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR526XOQ-NALM6	ENCSR526XOQ	NALM6	Homo sapiens NALM6	capped RNA enrichment
data/processed/bigwigs/ENCSR386UFU_peripheral_blood_mononuclear_cell_pl.bigWig	data/processed/bigwigs/ENCSR386UFU_peripheral_blood_mononuclear_cell_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR386UFU-peripheral_blood_mononuclear_cell	ENCSR386UFU	peripheral blood mononuclear cell	Homo sapiens peripheral blood mononuclear cell	capped RNA enrichment
data/processed/bigwigs/ENCSR795NHV_peripheral_blood_mononuclear_cell_pl.bigWig	data/processed/bigwigs/ENCSR795NHV_peripheral_blood_mononuclear_cell_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR795NHV-peripheral_blood_mononuclear_cell	ENCSR795NHV	peripheral blood mononuclear cell	Homo sapiens peripheral blood mononuclear cell	capped RNA enrichment
data/processed/bigwigs/ENCSR255VLW_jejunum_pl.bigWig	data/processed/bigwigs/ENCSR255VLW_jejunum_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR255VLW-jejunum	ENCSR255VLW	jejunum	Homo sapiens jejunum tissue female adult (59 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR087CGY_ovary_pl.bigWig	data/processed/bigwigs/ENCSR087CGY_ovary_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR087CGY-ovary	ENCSR087CGY	ovary	Homo sapiens ovary tissue female adult (53 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR374RDU_breast_pl.bigWig	data/processed/bigwigs/ENCSR374RDU_breast_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR374RDU-breast	ENCSR374RDU	breast	Homo sapiens breast tissue female adult (52 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR219IHS_A549_pl.bigWig	data/processed/bigwigs/ENCSR219IHS_A549_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR219IHS-A549	ENCSR219IHS	A549	Homo sapiens A549	capped RNA enrichment
data/processed/bigwigs/ENCSR683YIA_Pfeiffer_pl.bigWig	data/processed/bigwigs/ENCSR683YIA_Pfeiffer_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR683YIA-Pfeiffer	ENCSR683YIA	Pfeiffer	Homo sapiens Pfeiffer	capped RNA enrichment
data/processed/bigwigs/ENCSR810UBG_Metastatic_Breast_Carcinoma_in_the_Ovary_pl.bigWig	data/processed/bigwigs/ENCSR810UBG_Metastatic_Breast_Carcinoma_in_the_Ovary_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR810UBG-Metastatic_Breast_Carcinoma_in_the_Ovary	ENCSR810UBG	Metastatic Breast Carcinoma in the Ovary	Homo sapiens Metastatic Breast Carcinoma in the Ovary tissue female adult (48 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR959JOB_right_ventricle_myocardium_pl.bigWig	data/processed/bigwigs/ENCSR959JOB_right_ventricle_myocardium_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR959JOB-right_ventricle_myocardium	ENCSR959JOB	right ventricle myocardium	Homo sapiens right ventricle myocardium tissue male adult (37 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR431OQI_parotid_gland_pl.bigWig	data/processed/bigwigs/ENCSR431OQI_parotid_gland_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR431OQI-parotid_gland	ENCSR431OQI	parotid gland	Homo sapiens parotid gland tissue	capped RNA enrichment
data/processed/bigwigs/ENCSR353JON_spinal_cord_pl.bigWig	data/processed/bigwigs/ENCSR353JON_spinal_cord_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR353JON-spinal_cord	ENCSR353JON	spinal cord	Homo sapiens spinal cord tissue	capped RNA enrichment
data/processed/bigwigs/ENCSR374OGG_pancreas_pl.bigWig	data/processed/bigwigs/ENCSR374OGG_pancreas_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR374OGG-pancreas	ENCSR374OGG	pancreas	Homo sapiens pancreas organoid	capped RNA enrichment
data/processed/bigwigs/ENCSR528FMA_helper_T_cell_pl.bigWig	data/processed/bigwigs/ENCSR528FMA_helper_T_cell_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR528FMA-helper_T_cell	ENCSR528FMA	helper T cell	Homo sapiens helper T cell	capped RNA enrichment
data/processed/bigwigs/ENCSR500IHG_breast_pl.bigWig	data/processed/bigwigs/ENCSR500IHG_breast_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR500IHG-breast	ENCSR500IHG	breast	Homo sapiens breast tissue female adult (55 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR098LLB_endothelial_cell_of_umbilical_vein_pl.bigWig	data/processed/bigwigs/ENCSR098LLB_endothelial_cell_of_umbilical_vein_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR098LLB-endothelial_cell_of_umbilical_vein	ENCSR098LLB	endothelial cell of umbilical vein	Homo sapiens endothelial cell of umbilical vein male newborn	capped RNA enrichment
data/processed/bigwigs/ENCSR046BCI_A673_pl.bigWig	data/processed/bigwigs/ENCSR046BCI_A673_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR046BCI-A673	ENCSR046BCI	A673	Homo sapiens A673	capped RNA enrichment
data/processed/bigwigs/ENCSR935RNW_Calu3_pl.bigWig	data/processed/bigwigs/ENCSR935RNW_Calu3_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR935RNW-Calu3	ENCSR935RNW	Calu3	Homo sapiens Calu3	capped RNA enrichment
data/processed/bigwigs/ENCSR799DGV_MCF_10A_pl.bigWig	data/processed/bigwigs/ENCSR799DGV_MCF_10A_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR799DGV-MCF_10A	ENCSR799DGV	MCF 10A	Homo sapiens MCF 10A	capped RNA enrichment
data/processed/bigwigs/ENCSR261KBX_K562_pl.bigWig	data/processed/bigwigs/ENCSR261KBX_K562_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR261KBX-K562	ENCSR261KBX	K562	Homo sapiens K562	capped RNA enrichment
data/processed/bigwigs/ENCSR100LIJ_Caco-2_pl.bigWig	data/processed/bigwigs/ENCSR100LIJ_Caco-2_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR100LIJ-Caco-2	ENCSR100LIJ	Caco-2	Homo sapiens Caco-2	capped RNA enrichment
